ns=3;i=6039	PosIndirect
ns=0;i=891	Annotation
ns=0;i=890	ExceptionDeviationFormat
ns=0;i=893	Default Binary
ns=0;i=892	Default XML
ns=0;i=895	Default XML
ns=0;i=894	ProgramDiagnosticDataType
ns=0;i=897	SemanticChangeStructureDataType
ns=0;i=896	Default Binary
ns=0;i=888	Default XML
ns=0;i=887	EUInformation
ns=0;i=889	Default Binary
ns=0;i=15407	OptionSetValues
ns=0;i=15425	EndpointsExclude
ns=0;i=15426	ApplicationsExclude
ns=0;i=15427	EndpointsExclude
ns=0;i=16759	DataSetClassId
ns=0;i=15428	ApplicationsExclude
ns=0;i=15421	Default Binary
ns=0;i=15422	Default Binary
ns=0;i=15423	EndpointsExclude
ns=0;i=15424	ApplicationsExclude
ns=2;i=6215	ImageSet
ns=2;i=6214	<ProtocolSupportIdentifier>
ns=0;i=15420	RequestedDeliveryGuarantee
ns=2;i=6216	<ImageIdentifier>
ns=2;i=6211	Documentation
ns=2;i=6210	<ImageIdentifier>
ns=2;i=6213	ProtocolSupport
ns=2;i=6212	<DocumentIdentifier>
ns=0;i=15418	ApplicationsExclude
ns=0;i=15419	AuthenticationProfileUri
ns=0;i=14105	GetPosition
ns=0;i=14106	InputArguments
ns=0;i=14107	OutputArguments
ns=0;i=14108	SetPosition
ns=0;i=14101	InputArguments
ns=2;i=6208	DeviceHealth
ns=0;i=14102	OutputArguments
ns=0;i=14103	Write
ns=0;i=14104	InputArguments
ns=2;i=6209	DeviceTypeImage
ns=0;i=15430	ApplicationsExclude
ns=0;i=14100	Read
ns=0;i=15429	EndpointsExclude
ns=1;i=1501	TotalCount
ns=1;i=1500	ErrorCount
ns=1;i=1503	TotalCount
ns=1;i=1502	ErrorCount
ns=1;i=1505	TotalCount
ns=1;i=1504	ErrorCount
ns=0;i=860	Default XML
ns=0;i=862	ServerStatusDataType
ns=0;i=861	Default Binary
ns=0;i=864	Default Binary
ns=0;i=863	Default XML
ns=0;i=855	Default Binary
ns=0;i=854	Default XML
ns=0;i=857	Default XML
ns=0;i=856	SamplingIntervalDiagnosticsDataType
ns=0;i=859	ServerDiagnosticsSummaryDataType
ns=0;i=858	Default Binary
ns=1;i=1510	ErrorCount
ns=1;i=1512	ErrorCount
ns=1;i=1511	TotalCount
ns=1;i=1514	ErrorCount
ns=1;i=1513	TotalCount
ns=1;i=1516	ErrorCount
ns=1;i=1515	TotalCount
ns=0;i=851	RedundancySupport
ns=0;i=853	RedundantServerDataType
ns=0;i=852	ServerState
ns=1;i=1507	TotalCount
ns=1;i=1506	ErrorCount
ns=1;i=1509	TotalCount
ns=1;i=1508	ErrorCount
ns=0;i=884	Range
ns=0;i=886	Default Binary
ns=0;i=885	Default XML
ns=0;i=877	ModelChangeStructureDataType
ns=0;i=876	Default Binary
ns=0;i=879	Default Binary
ns=0;i=878	Default XML
ns=0;i=16720	DataSetWriterId
ns=0;i=16721	DataSetFieldContentMask
ns=2;i=6248	<CPIdentifier>
ns=2;i=6247	NetworkType
ns=0;i=871	ServiceCounterDataType
ns=0;i=870	Default Binary
ns=2;i=6244	DeviceHealthEnumeration
ns=0;i=873	Default Binary
ns=2;i=6243	UIElement
ns=0;i=872	Default XML
ns=2;i=6246	UIElementType
ns=0;i=875	Default XML
ns=0;i=874	SubscriptionDiagnosticsDataType
ns=0;i=866	Default XML
ns=0;i=865	SessionDiagnosticsDataType
ns=2;i=6242	UIElement
ns=0;i=868	SessionSecurityDiagnosticsDataType
ns=0;i=867	Default Binary
ns=0;i=869	Default XML
ns=6;i=7011	ParamDownloadToDeviceStop
ns=6;i=7012	ParamDownloadToDeviceStore
ns=6;i=7010	ParamDownloadToDeviceStart
ns=6;i=7015	ApplicationReset
ns=6;i=7016	RestoreFactorySettings
ns=6;i=7013	ParamBreak
ns=6;i=7014	DeviceReset
ns=6;i=7017	<MethodIdentifier>
ns=6;i=7026	MethodIdentifier
ns=6;i=7027	ApplicationReset
ns=6;i=7024	Restart
ns=6;i=7025	ResetStatisticsOnAllPorts
ns=6;i=7028	DeviceReset
ns=6;i=7029	<MethodIdentifier>
ns=6;i=7001	<MethodIdentifier>
ns=6;i=7005	ReadISDU
ns=6;i=7008	ParamUploadFromDeviceStart
ns=6;i=7009	ParamUploadFromDeviceStop
ns=6;i=7006	WriteISDU
ns=6;i=7007	SystemCommand
ns=0;i=11881	EnumValues
ns=0;i=11885	EnumValues
ns=0;i=11884	EnumValues
ns=0;i=2955	LimitAlarmType
ns=0;i=2947	Unshelve
ns=0;i=11878	EnumValues
ns=0;i=2949	TimedShelve
ns=0;i=2948	OneShotShelve
ns=0;i=11876	AggregateFunctions
ns=0;i=11892	UnauthorizedRequestCount
ns=0;i=11891	UnauthorizedRequestCount
ns=0;i=2940	TimedShelvedToUnshelved
ns=0;i=2943	OneShotShelvedToUnshelved
ns=0;i=2942	TimedShelvedToOneShotShelved
ns=0;i=2945	OneShotShelvedToTimedShelved
ns=0;i=21201	Default JSON
ns=0;i=21200	Default JSON
ns=0;i=21203	Default JSON
ns=0;i=21202	Default JSON
ns=0;i=2936	UnshelvedToOneShotShelved
ns=0;i=2935	UnshelvedToTimedShelved
ns=0;i=2930	Unshelved
ns=0;i=2932	TimedShelved
ns=0;i=2933	OneShotShelved
ns=0;i=2929	ShelvedStateMachineType
ns=0;i=2915	AlarmConditionType
ns=1;i=1389	ErrorCount
ns=1;i=1388	TotalCount
ns=0;i=11962	NetworkGroupDataType
ns=1;i=1381	ErrorCount
ns=1;i=1380	TotalCount
ns=1;i=1383	ErrorCount
ns=1;i=1382	TotalCount
ns=1;i=1385	ErrorCount
ns=1;i=1384	TotalCount
ns=1;i=1387	ErrorCount
ns=1;i=1386	TotalCount
ns=0;i=11954	NetworkGroupDataType
ns=0;i=11959	EndpointUrlListDataType
ns=0;i=11958	Default Binary
ns=0;i=11957	Default Binary
ns=1;i=1399	ErrorCount
ns=1;i=1392	TotalCount
ns=0;i=8961	AuditConditionConfirmEventType
ns=1;i=1391	ErrorCount
ns=1;i=1394	TotalCount
ns=1;i=1393	ErrorCount
ns=1;i=1396	TotalCount
ns=1;i=1395	ErrorCount
ns=1;i=1398	TotalCount
ns=1;i=1397	ErrorCount
ns=1;i=1390	TotalCount
ns=0;i=10637	OffNormalAlarmType
ns=1;i=1367	ErrorCount
ns=1;i=1366	TotalCount
ns=1;i=1369	ErrorCount
ns=1;i=1368	TotalCount
ns=1;i=1361	ErrorCount
ns=1;i=1360	TotalCount
ns=1;i=1363	ErrorCount
ns=1;i=1362	TotalCount
ns=1;i=1365	ErrorCount
ns=1;i=1364	TotalCount
ns=1;i=1378	TotalCount
ns=0;i=7616	Default XML
ns=1;i=1377	ErrorCount
ns=0;i=7614	EnumStrings
ns=1;i=1379	ErrorCount
ns=0;i=8944	AuditConditionAcknowledgeEventType
ns=0;i=7619	NamespaceUri
ns=0;i=7617	Opc.Ua
ns=1;i=1370	TotalCount
ns=1;i=1372	TotalCount
ns=1;i=1371	ErrorCount
ns=1;i=1374	TotalCount
ns=0;i=7612	EnumStrings
ns=1;i=1373	ErrorCount
ns=0;i=7611	EnumStrings
ns=1;i=1376	TotalCount
ns=1;i=1375	ErrorCount
ns=0;i=7683	IssuedIdentityToken
ns=0;i=7686	EndpointConfiguration
ns=0;i=7680	X509IdentityToken
ns=0;i=7674	AnonymousIdentityToken
ns=0;i=7671	UserIdentityToken
ns=0;i=7677	UserNameIdentityToken
ns=0;i=7668	EndpointDescription
ns=0;i=11940	EnumValues
ns=0;i=7662	UserTokenPolicy
ns=0;i=8996	Id
ns=0;i=7665	ApplicationDescription
ns=0;i=8995	TwoStateVariableType
ns=0;i=11939	OpenFileMode
ns=0;i=7659	StatusResult
ns=0;i=11951	EndpointUrlListDataType
ns=0;i=11950	Default XML
ns=0;i=7650	Argument
ns=0;i=7656	EnumValueType
ns=0;i=11945	NonTransparentNetworkRedundancyType
ns=0;i=11944	NetworkGroupDataType
ns=0;i=11943	EndpointUrlListDataType
ns=0;i=11949	Default XML
ns=0;i=11948	ServerNetworkGroups
ns=1;i=1301	MonitoringQueueOverflowCount
ns=1;i=1300	DisabledMonitoredItemCount
ns=1;i=1303	EventQueueOverflowCount
ns=1;i=1302	NextSequenceNumber
ns=1;i=1305	SessionDiagnostics
ns=0;i=14156	DefaultApplicationGroup
ns=0;i=15487	StructureDescription
ns=1;i=1304	EventQueueOverFlowCount
ns=0;i=14157	Writable
ns=0;i=15488	EnumDescription
ns=1;i=1307	SessionName
ns=0;i=14158	UserWritable
ns=0;i=15489	ExtensionFieldsType
ns=1;i=1306	SessionId
ns=0;i=14152	InputArguments
ns=0;i=15483	InputArguments
ns=0;i=14153	RemoveCertificate
ns=0;i=15484	OutputArguments
ns=0;i=14154	InputArguments
ns=0;i=15485	RemoveExtensionField
ns=0;i=14155	CertificateTypes
ns=0;i=15486	InputArguments
ns=0;i=15480	WriterGroupDataType
ns=0;i=14150	OutputArguments
ns=0;i=15481	ExtensionFields
ns=0;i=14151	AddCertificate
ns=0;i=15482	AddExtensionField
ns=0;i=940	Default Binary
ns=2;i=6030	ConnectsTo
ns=6;i=2002	ProcessDataVariableType
ns=0;i=938	IssuedIdentityToken
ns=0;i=939	Default XML
ns=1;i=1312	ActualSessionTimeout
ns=1;i=1311	LocaleIds
ns=1;i=1314	ClientConnectionTime
ns=1;i=1313	MaxResponseMessageSize
ns=1;i=1316	CurrentSubscriptionsCount
ns=1;i=1315	ClientLastContactTime
ns=1;i=1318	CurrentPublishRequestsInQueue
ns=1;i=1317	CurrentMonitoredItemsCount
ns=0;i=15494	RemoveExtensionField
ns=2;i=6027	<GroupIdentifier>
ns=0;i=15495	InputArguments
ns=0;i=15490	<ExtensionFieldName>
ns=0;i=14160	InputArguments
ns=0;i=15491	AddExtensionField
ns=1;i=1310	EndpointUrl
ns=0;i=14161	CertificateTypes
ns=0;i=15492	InputArguments
ns=2;i=6026	<ObjectIdentifier>
ns=0;i=15493	OutputArguments
ns=0;i=921	Default XML
ns=0;i=920	HistoryEventFieldList
ns=0;i=922	Default Binary
ns=1;i=1309	ServerUri
ns=1;i=1308	ClientDescription
ns=0;i=950	Default Binary
ns=0;i=949	Default XML
ns=0;i=948	AggregateConfiguration
ns=1;i=1345	QueryFirstCount
ns=0;i=14116	OutputArguments
ns=0;i=15447	RemoveSecurityGroup
ns=0;i=7605	EnumStrings
ns=1;i=1344	TranslateBrowsePathsToNodeIdsCount
ns=0;i=14117	AddCertificate
ns=0;i=15448	InputArguments
ns=1;i=1347	RegisterNodesCount
ns=0;i=14118	InputArguments
ns=1;i=1346	QueryNextCount
ns=0;i=14119	RemoveCertificate
ns=1;i=1349	ApplicationUri
ns=0;i=14112	InputArguments
ns=0;i=15443	SecurityGroups
ns=1;i=1348	UnregisterNodesCount
ns=0;i=14113	OutputArguments
ns=0;i=15444	AddSecurityGroup
ns=0;i=14114	CloseAndUpdate
ns=0;i=15445	InputArguments
ns=0;i=14115	InputArguments
ns=0;i=15446	OutputArguments
ns=0;i=16776	BaseSetpointNode
ns=0;i=15440	GetSecurityGroup
ns=0;i=14110	LastUpdateTime
ns=0;i=15441	InputArguments
ns=0;i=14111	OpenWithMasks
ns=0;i=15442	OutputArguments
ns=1;i=1341	DeleteReferencesCount
ns=2;i=6078	NetworkSet
ns=1;i=1340	DeleteNodesCount
ns=1;i=1343	BrowseNextCount
ns=1;i=1342	BrowseCount
ns=0;i=14109	InputArguments
ns=1;i=1356	TotalCount
ns=0;i=14127	OpenCount
ns=0;i=15458	InputArguments
ns=1;i=1355	DiscoveryUrls
ns=0;i=15459	<SecurityGroupName>
ns=1;i=1358	TotalCount
ns=0;i=14129	Open
ns=1;i=1357	ErrorCount
ns=0;i=14123	TrustList
ns=0;i=15454	AddSecurityGroup
ns=1;i=1359	ErrorCount
ns=0;i=14124	Size
ns=0;i=15455	InputArguments
ns=0;i=14125	Writable
ns=0;i=15456	OutputArguments
ns=0;i=8927	AuditConditionRespondEventType
ns=0;i=14126	UserWritable
ns=0;i=15457	RemoveSecurityGroup
ns=0;i=14120	InputArguments
ns=1;i=1350	ProductUri
ns=0;i=14121	CertificateTypes
ns=0;i=15452	SecurityGroupFolderType
ns=0;i=14122	DefaultUserTokenGroup
ns=0;i=15453	<SecurityGroupFolderName>
ns=1;i=1352	ApplicationType
ns=1;i=1351	ApplicationName
ns=1;i=1354	DiscoveryProfileUri
ns=1;i=1353	GatewayServerUri
ns=1;i=1323	WriteCount
ns=0;i=14138	InputArguments
ns=0;i=8914	TimeZoneDataType
ns=1;i=1322	HistoryReadCount
ns=0;i=14139	GetPosition
ns=0;i=8913	Default XML
ns=1;i=1325	CallCount
ns=0;i=8912	TimeZoneDataType
ns=1;i=1324	HistoryUpdateCount
ns=1;i=1327	ModifyMonitoredItemsCount
ns=0;i=14134	Read
ns=0;i=15465	InputArguments
ns=0;i=8918	TimeZoneDataType
ns=1;i=1326	CreateMonitoredItemsCount
ns=0;i=14135	InputArguments
ns=0;i=8917	Default Binary
ns=1;i=1329	SetTriggeringCount
ns=0;i=14136	OutputArguments
ns=1;i=1328	SetMonitoringModeCount
ns=0;i=14137	Write
ns=0;i=14130	InputArguments
ns=0;i=15461	AddSecurityGroup
ns=0;i=14131	OutputArguments
ns=0;i=15462	InputArguments
ns=0;i=14132	Close
ns=0;i=15463	OutputArguments
ns=0;i=14133	InputArguments
ns=0;i=15464	RemoveSecurityGroup
ns=1;i=1321	ReadCount
ns=1;i=1320	UnauthorizedRequestCount
ns=0;i=15460	SecurityGroupId
ns=2;i=6095	OnlineAccess
ns=2;i=6094	DeviceTopology
ns=1;i=1319	TotalRequestCount
ns=1;i=1334	PublishCount
ns=0;i=14149	InputArguments
ns=1;i=1333	SetPublishingModeCount
ns=0;i=8902	EventQueueOverflowCount
ns=1;i=1336	TransferSubscriptionsCount
ns=1;i=1335	RepublishCount
ns=0;i=8900	TotalRequestCount
ns=1;i=1338	AddNodesCount
ns=0;i=14145	OpenWithMasks
ns=1;i=1337	DeleteSubscriptionsCount
ns=0;i=14146	InputArguments
ns=0;i=14147	OutputArguments
ns=1;i=1339	AddReferencesCount
ns=0;i=14148	CloseAndUpdate
ns=0;i=15479	Default Binary
ns=0;i=14141	OutputArguments
ns=0;i=15472	SecurityGroupId
ns=0;i=14142	SetPosition
ns=0;i=14143	InputArguments
ns=0;i=14144	LastUpdateTime
ns=1;i=1330	DeleteMonitoredItemsCount
ns=1;i=1332	ModifySubscriptionCount
ns=1;i=1331	CreateSubscriptionCount
ns=0;i=14140	InputArguments
ns=0;i=15471	SecurityGroupType
ns=0;i=15524	BrokerConnectionTransportDataType
ns=0;i=16858	EngineeringUnits
ns=0;i=15527	EndpointsExclude
ns=0;i=15520	ReaderGroupDataType
ns=0;i=15521	UABinaryFileDataType
ns=0;i=16853	OutputArguments
ns=0;i=15517	OutputArguments
ns=0;i=15535	PubSubStatusEventType
ns=0;i=15531	Default XML
ns=0;i=15532	DatagramWriterGroupTransportDataType
ns=0;i=15533	NetworkInterface
ns=0;i=15534	DataTypeSchemaHeader
ns=0;i=15530	PubSubConfigurationDataType
ns=0;i=15528	EndpointType
ns=0;i=15529	Default XML
ns=0;i=15546	GroupId
ns=0;i=15547	State
ns=0;i=15548	PubSubTransportLimitsExceedEventType
ns=0;i=15545	ConnectionId
ns=5;i=100	UnsuspendingToHolding
ns=0;i=14209	PubSubConnectionType
ns=0;i=14226	InputArguments
ns=0;i=16884	AddDataSetFolder
ns=0;i=14225	RemoveGroup
ns=0;i=16881	AddPublishedEventsTemplate
ns=0;i=16883	OutputArguments
ns=0;i=16882	InputArguments
ns=0;i=14221	Address
ns=5;i=120	ProdProcessedCount
ns=5;i=121	Parameters
ns=5;i=122	Product
ns=0;i=20085	StatusCode
ns=5;i=112	UnholdingToHolding
ns=5;i=113	UnholdingToHolding
ns=0;i=20086	DiagnosticsLevel
ns=5;i=114	Clearing
ns=0;i=20087	MajorVersion
ns=0;i=19083	ValueAsDictionaryEntries
ns=0;i=20088	DiagnosticsLevel
ns=5;i=115	ClearedToAborting
ns=0;i=19084	MultiStateDictionaryEntryDiscreteType
ns=0;i=20089	MinorVersion
ns=5;i=116	Clearing
ns=5;i=117	http://opcfoundation.org/UA/PackML
